workout_name,rating_number,rating_name,workout_type,workout_muscle,workout_equipment,workout_level,workout_img_1,workout_img_2,muscle_group_img,instructions
Incline Cable Flye,9,Excellent,Strength,Chest,Cable,Intermediate,https://www.bodybuilding.com/exercises/exerciseImages/sequences/181/Male/m/181_2.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/181/Male/m/181_1.jpg,https://artifacts.bbcomcdn.com/exercises-app/1.2.1/img/guide-1.gif,"1.)  To get yourself into the starting position, set the pulleys at the floor level (lowest level possible on the machine that is below your torso).

2.)  Place an incline bench (set at 45 degrees) in between the pulleys, select a weight on each one and grab a pulley on each hand.

3.)  With a handle on each hand, lie on the incline bench and bring your hands together at arms length in front of your face.  This will be your starting position.

4.)  With a slight bend of your elbows (in order to prevent stress at the biceps tendon), lower your arms out at both sides in a wide arc until you feel a stretch on your chest.  Breathe in as you perform this portion of the movement.  Tip: Keep in mind that throughout the movement, the arms should remain stationary.  The movement should only occur at the shoulder joint.

5.)  Return your arms back to the starting position as you squeeze your chest muscles and exhale.  Hold the contracted position for a second.  Tip: Make sure to use the same arc of motion used to lower the weights.

6.)  Repeat the movement for the prescribed amount of repetitions.

"
Wide-Grip Decline Barbell Bench Press,8.9,Excellent,Strength,Chest,Barbell,Intermediate,https://www.bodybuilding.com/exercises/exerciseImages/sequences/35/Male/m/35_1.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/35/Male/m/35_2.jpg,https://artifacts.bbcomcdn.com/exercises-app/1.2.1/img/guide-1.gif,"1.)  Lie back on a decline bench with the feet securely locked at the front of the bench.  Using a wide, pronated (palms forward) grip that is around 3 inches away from shoulder width (for each hand), lift the bar from the rack and hold it straight over you with your arms locked.  The bar will be perpendicular to the torso and the floor.  This will be your starting position.

2.)  As you breathe in, come down slowly until you feel the bar on your lower chest.

3.)  After a second pause, bring the bar back to the starting position as you breathe out and push the bar using your chest muscles.  Lock your arms and squeeze your chest in the contracted position, hold for a second and then start coming down slowly again.  Tip: It should take at least twice as long to go down than to come up.

4.)  Repeat the movement for the prescribed amount of repetitions.

"
Incline Dumbbell Press Reverse-Grip,8.9,Excellent,Strength,Chest,Dumbbell,Intermediate,https://www.bodybuilding.com/exercises/exerciseImages/sequences/3331/Male/m/3331_1.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/3331/Male/m/3331_2.jpg,https://artifacts.bbcomcdn.com/exercises-app/1.2.1/img/guide-1.gif,"1.)   Lay on an incline bench holding a dumbbell in each hand. Begin with your arms extended above your torso with a supinated grip. 

2.)  Your back should be arched, feet driving through the ground, and lats tight. This will be your starting position. 

3.)  Lower the weights to your chest by flexing the elbows. 

4.)  After a brief pause, return the weights to the starting position by extending the elbows

"
Wide-Grip Barbell Bench Press,8.9,Excellent,Strength,Chest,Barbell,Intermediate,https://www.bodybuilding.com/exercises/exerciseImages/sequences/33/Male/m/33_2.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/33/Male/m/33_1.jpg,https://artifacts.bbcomcdn.com/exercises-app/1.2.1/img/guide-1.gif,"1.)  Lie back on a flat bench with feet firm on the floor.  Using a wide, pronated (palms forward) grip that is around 3 inches away from shoulder width (for each hand), lift the bar from the rack and hold it straight over you with your arms locked.  The bar will be perpendicular to the torso and the floor.  This will be your starting position.

2.)  As you breathe in, come down slowly until you feel the bar on your middle chest.

3.)  After a second pause, bring the bar back to the starting position as you breathe out and push the bar using your chest muscles.  Lock your arms and squeeze your chest in the contracted position, hold for a second and then start coming down slowly again.  Tip: It should take at least twice as long to go down than to come up.

4.)  Repeat the movement for the prescribed amount of repetitions.

"
Decline Barbell Bench Press,8.9,Excellent,Strength,Chest,Barbell,Beginner,https://www.bodybuilding.com/exercises/exerciseImages/sequences/34/Male/m/34_2.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/34/Male/m/34_1.jpg,https://artifacts.bbcomcdn.com/exercises-app/1.2.1/img/guide-1.gif,"1.)  Secure your legs at the end of the decline bench and slowly lay down on the bench.

2.)  Using a medium width grip (a grip that creates a 90-degree angle in the middle of the movement between the forearms and the upper arms), lift the bar from the rack and hold it straight over you with your arms locked.  The arms should be perpendicular to the floor.  This will be your starting position. Tip: In order to protect your rotator cuff, it is best if you have a spotter help you lift the barbell off the rack.

3.)  As you breathe in, come down slowly until you feel the bar on your lower chest.

4.)  After a second pause, bring the bar back to the starting position as you breathe out and push the bar using your chest muscles.  Lock your arms and squeeze your chest in the contracted position, hold for a second and then start coming down slowly again.  Tip: It should take at least twice as long to go down than to come up).

5.)  Repeat the movement for the prescribed amount of repetitions.

6.)  When you are done, place the bar back in the rack.

"
Incline Push-Up,8.8,Excellent,Strength,Chest,Body Only,Beginner,https://www.bodybuilding.com/exercises/exerciseImages/sequences/883/Male/m/883_1.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/883/Male/m/883_2.jpg,https://artifacts.bbcomcdn.com/exercises-app/1.2.1/img/guide-1.gif,"1.) Stand facing bench or sturdy elevated platform. Place hands on edge of bench or platform, slightly wider than shoulder width. 

2.) Position forefoot back from bench or platform with arms and body straight. Arms should be perpendicular to body. Keeping body straight, lower chest to edge of box or platform by bending arms.

3.)  Push body up until arms are extended. Repeat.

"
Wrist Rotations with Straight Bar,9.5,Excellent,Strength,Forearms,Barbell,Beginner,https://www.bodybuilding.com/exercises/exerciseImages/sequences/1691/Male/m/1691_2.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/1691/Male/m/1691_1.jpg,https://artifacts.bbcomcdn.com/exercises-app/1.2.1/img/guide-2.gif,"1.) Hold a barbell with both hands and your palms facing down; hands spaced about shoulder width. This will be your starting position.

2.) Alternating between each of your hands, perform the movement by extending the wrist as though you were rolling up a newspaper. Continue alternating back and forth until failure. 

3.) Reverse the motion by flexing the wrist, rolling the opposite direction. Continue the alternating motion until failure.

"
Palms-Down Wrist Curl Over A Bench,9.5,Excellent,Strength,Forearms,Barbell,Beginner,https://www.bodybuilding.com/exercises/exerciseImages/sequences/2/Male/m/2_1.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/2/Male/m/2_2.jpg,https://artifacts.bbcomcdn.com/exercises-app/1.2.1/img/guide-2.gif,"1.)  Start out by placing a barbell on one side of a flat bench.

2.)  Kneel down on both of your knees so that your body is facing the flat bench.

3.)  Use your arms to grab the barbell with a pronated grip (palms down) and bring them up so that your forearms are resting against the flat bench. Your wrists should be hanging over the edge.

4.)  Start out by curling your wrist upwards and exhaling.

5.)  Slowly lower your wrists back down to the starting position while inhaling.

6.)  Your forearms should be stationary as your wrist is the only movement needed to perform this exercise.

7.)  Repeat for the recommended amount of repetitions.

"
Palms-Up Barbell Wrist Curl Over A Bench,9.4,Excellent,Strength,Forearms,Barbell,Beginner,https://www.bodybuilding.com/exercises/exerciseImages/sequences/390/Male/m/390_2.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/390/Male/m/390_1.jpg,https://artifacts.bbcomcdn.com/exercises-app/1.2.1/img/guide-2.gif,"1.)  Start out by placing a barbell on one side of a flat bench.

2.)  Kneel down on both of your knees so that your body is facing the flat bench.

3.)  Use your arms to grab the barbell with a supinated grip (palms up) and bring them up so that your forearms are resting against the flat bench. Your wrists should be hanging over the edge.

4.)  Start out by curling your wrist upwards and exhaling.

5.)  Slowly lower your wrists back down to the starting position while inhaling.

6.)  Your forearms should be stationary as your wrist is the only movement needed to perform this exercise.

7.)  Repeat for the recommended amount of repetitions.

"
Standing Palms-Up Barbell Behind The Back Wrist Curl,9.3,Excellent,Strength,Forearms,Barbell,Beginner,https://www.bodybuilding.com/exercises/exerciseImages/sequences/5/Male/m/5_2.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/5/Male/m/5_1.jpg,https://artifacts.bbcomcdn.com/exercises-app/1.2.1/img/guide-2.gif,"1.)  Start by standing straight and holding a barbell behind your glutes at arm's length while using a pronated grip (palms will be facing back away from the glutes) and having your hands shoulder width apart from each other.

2.)  You should be looking straight forward while your feet are shoulder width apart from each other. This is the starting position.

3.)  While exhaling, slowly elevate the barbell up by curling your wrist in a semi-circular motion towards the ceiling.  Note: Your wrist should be the only body part moving for this exercise.

4.)  Hold the contraction for a second and lower the barbell back down to the starting position while inhaling.

5.)  Repeat for the recommended amount of repetitions.

6.)  When finished, lower the barbell down to the squat rack or the floor by bending the knees. Tip: It is easiest to either pick it up from a squat rack or have a partner hand it to you.

"
Finger Curls,9.3,Excellent,Strength,Forearms,Barbell,Beginner,https://www.bodybuilding.com/exercises/exerciseImages/sequences/1681/Male/m/1681_2.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/1681/Male/m/1681_1.jpg,https://artifacts.bbcomcdn.com/exercises-app/1.2.1/img/guide-2.gif,"1.) Hold a barbell with both hands and your palms facing up; hands spaced about shoulder width.

2.) Place your feet flat on the floor, at a distance that is slightly wider than shoulder width apart. This will be your starting position.

3.) Lower the bar as far as possible by extending the fingers. Allowing the bar to roll down the hands, catch the bar with the final joint in the fingers. 

4.) Now curl bar up as high as possible by closing your hands while exhaling. Hold the contraction at the top.

"
Seated Two-Arm Palms-Up Low-Pulley Wrist Curl,9.2,Excellent,Strength,Forearms,Cable,Beginner,https://www.bodybuilding.com/exercises/exerciseImages/sequences/7/Male/m/7_2.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/7/Male/m/7_1.jpg,https://artifacts.bbcomcdn.com/exercises-app/1.2.1/img/guide-2.gif,"1.)  Put a bench in front of a low pulley machine that has a barbell or EZ Curl attachment on it.

2.)  Move the bench far enough away so that when you bring the handle to the top of your thighs tension is created on the cable due to the weight stack being moved up.

3.)  Now hold the handle with both hands, palms up, using a shoulder-width grip.

4.)  Step back and sit on the bench with your feet about shoulder width apart, firmly on the floor.

5.)  Lean forward and place the forearms on your thighs with the back of your wrists over your knees.  This will be your starting position.

6.)  Lower the bar as far as possible, while inhaling and keeping a tight grip.

7.)  Now curl the bar up as high as possible while contracting the forearms. Tip: Only the wrist should move; not the forearms.

8.)  After a second contraction at the top go back to the starting position as you inhale.

9.)  Repeat for the recommended amount of repetitions.

"
Wrist Roller,9.1,Excellent,Strength,Forearms,Other,Beginner,https://www.bodybuilding.com/exercises/exerciseImages/sequences/142/Male/m/142_1.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/142/Male/m/142_2.jpg,https://artifacts.bbcomcdn.com/exercises-app/1.2.1/img/guide-2.gif,"1.)  To begin, stand straight up grabbing a wrist roller using a pronated grip (palms facing down).  Your feet should be shoulder width apart.

2.)  Slowly lift both arms until they are fully extended and parallel to the floor in front of you.  Note: Make sure the rope is not wrapped around the roller.  Your entire body should be stationary except for the forearms.  This is the starting position.

3.)  Rotate one wrist at a time in an upward motion to bring the weight up to the bar by rolling the rope around the roller.

4.)  Once the weight has reached the bar, slowly begin to lower the weight back down by rotating the wrist in a downward motion until the weight reaches the starting position.

5.)  Repeat for the prescribed amount of repetitions in your program.

"
Seated One-Arm Dumbbell Palms-Up Wrist Curl,9,Excellent,Strength,Forearms,Dumbbell,Beginner,https://www.bodybuilding.com/exercises/exerciseImages/sequences/386/Male/m/386_1.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/386/Male/m/386_2.jpg,https://artifacts.bbcomcdn.com/exercises-app/1.2.1/img/guide-2.gif,"1.)  Sit on a flat bench with a dumbbell in your right hand.

2.)  Place your feet flat on the floor, at a distance that is slightly wider than shoulder width apart.

3.)  Lean forward and place your right forearm on top of your upper right thigh with your palm up. Tip: Make sure that the front of the wrist lies on top of your knees.  This will be your starting position.

4.)  Lower the dumbbell as far as possible as you keep a tight grip on the dumbbell.  Inhale as you perform this movement.

5.)  Now curl the dumbbell as high as possible as you contract the forearms and as you exhale.  Keep the contraction for a second before you lower again.  Tip: The only movement should happen at the wrist.

6.)  Perform for the recommended amount of repetitions, switch arms and repeat the movement.

"
Seated Palms-Down Barbell Wrist Curl,9,Excellent,Strength,Forearms,Barbell,Beginner,https://www.bodybuilding.com/exercises/exerciseImages/sequences/389/Male/m/389_1.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/389/Male/m/389_2.jpg,https://artifacts.bbcomcdn.com/exercises-app/1.2.1/img/guide-2.gif,"1.)  Hold a barbell with both hands and your palms facing down; hands spaced about shoulder width.

2.)  Place your feet flat on the floor, at a distance that is slightly wider than shoulder width apart.

3.)  Lean forward and place your forearms on top of your upper thighs with your palms down. Tip: Make sure that the back of the wrists lay on top of your knees.  This will be your starting position.

4.)  Lower the bar as far as possible while inhaling and keeping a tight grip.

5.)  Now curl bar up as high as possible while flexing the forearms and exhaling.  Hold the contraction at the top for a second and Tip: Only the wrist should move.

"
Dumbbell Lying Supination,8.9,Excellent,Strength,Forearms,Dumbbell,Intermediate,https://www.bodybuilding.com/exercises/exerciseImages/sequences/323/Male/m/323_2.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/323/Male/m/323_1.jpg,https://artifacts.bbcomcdn.com/exercises-app/1.2.1/img/guide-2.gif,"1.) Lie sideways on a flat bench with one arm holding a dumbbell and the other hand on top of the bench folded so that you can rest your head on it.

2.) Bend the elbows of the arm holding the dumbbell so that it creates a 90-degree angle between the upper arm and the forearm.

3.) Now raise the upper arm so that the forearm is parallel to the floor and perpendicular to your torso (Tip: So the forearm will be directly in front of you).  The upper arm will be stationary by your torso and should be parallel to the floor (aligned with your torso at all times).  This will be your starting position.

4.) As you breathe out, externally rotate your forearm so that the dumbbell is lifted up in a semicircle motion as you maintain the 90 degree angle bend between the upper arms and the forearm.  You will continue this external rotation until the forearm is perpendicular to the floor and the torso pointing towards the ceiling.  At this point you will hold the contraction for a second.

5.) As you breathe in, slowly go back to the starting position.

6.) Repeat for the recommended amount of repetitions and then switch to the other arm.

"
Dumbbell Lying Pronation,8.8,Excellent,Strength,Forearms,Dumbbell,Intermediate,https://www.bodybuilding.com/exercises/exerciseImages/sequences/321/Male/m/321_2.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/321/Male/m/321_1.jpg,https://artifacts.bbcomcdn.com/exercises-app/1.2.1/img/guide-2.gif,"1.)  Lie on a flat bench face down with one arm holding a dumbbell and the other hand on top of the bench folded so that you can rest your head on it.

2.)  Bend the elbows of the arm holding the dumbbell so that it creates a 90-degree angle between the upper arm and the forearm.

3.)  Now raise the upper arm so that the forearm is perpendicular to the floor and the upper arm is perpendicular to your torso.  Tip: The upper arm should be parallel to the floor and also creating a 90-degree angle with your torso.  This will be your starting position.

4.)  As you breathe out, externally rotate your forearm so that the dumbbell is lifted forward as you maintain the 90 degree angle bend between the upper arms and the forearm.  You will continue this external rotation until the forearm is parallel to the floor.  At this point you will hold the contraction for a second.

5.)  As you breathe in, slowly go back to the starting position.

6.)  Repeat for the recommended amount of repetitions.

"
Seated Palm-Up Barbell Wrist Curl,8.7,Excellent,Strength,Forearms,Barbell,Beginner,https://www.bodybuilding.com/exercises/exerciseImages/sequences/388/Male/m/388_1.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/388/Male/m/388_2.jpg,https://artifacts.bbcomcdn.com/exercises-app/1.2.1/img/guide-2.gif,"1.)  Hold a barbell with both hands and your palms facing up; hands spaced about shoulder width.

2.)  Place your feet flat on the floor, at a distance that is slightly wider than shoulder width apart.

3.)  Lean forward and place your forearms on top of your upper thighs with your palms up. Tip: Make sure that the front of the wrists lay on top of your knees.  This will be your starting position.

4.)  Lower the bar as far as possible while inhaling and keeping a tight grip.

5.)  Now curl bar up as high as possible while flexing the forearms and exhaling.  Hold the contraction at the top for a second and Tip: Only the wrist should move.

"
Palms-Up Dumbbell Wrist Curl Over A Bench,8.6,Excellent,Strength,Forearms,Dumbbell,Beginner,https://www.bodybuilding.com/exercises/exerciseImages/sequences/3/Male/m/3_2.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/3/Male/m/3_1.jpg,https://artifacts.bbcomcdn.com/exercises-app/1.2.1/img/guide-2.gif,"1.)  Start out by placing two dumbbells on one side of a flat bench.

2.)  Kneel down on both of your knees so that your body is facing the flat bench.

3.)  Use your arms to grab both of the dumbbells with a supinated grip (palms up) and bring them up so that your forearms are resting against the flat bench. Your wrists should be hanging over the edge.

4.)  Start out by curling your wrist upwards and exhaling.

5.)  Slowly lower your wrists back down to the starting position while inhaling.  Make sure to inhale during this part of the exercise.

6.)  Your forearms should be stationary as your wrist is the only movement needed to perform this exercise.

7.)  Repeat for the recommended amount of repetitions.

"
Standing Olympic Plate Hand Squeeze,8.6,Excellent,Strength,Forearms,Other,Beginner,https://www.bodybuilding.com/exercises/exerciseImages/sequences/6/Male/m/6_1.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/6/Male/m/6_2.jpg,https://artifacts.bbcomcdn.com/exercises-app/1.2.1/img/guide-2.gif,"1.)  To begin, stand straight while holding a weight plate by the ridge at arm's length in each hand using a neutral grip (palms facing in).  You feet should be shoulder width apart from each other.  This will be your starting position.

2.)  Lower the plates until the fingers are nearly extended but can still hold weights. Inhale as you lower the plates.

3.)   Now raise the plates back to the starting position as you exhale by closing your hands.

4.)  Repeat for the recommended amount of repetitions prescribed in your program.

"
Seated Dumbbell Palms-Down Wrist Curl,8.4,Excellent,Strength,Forearms,Dumbbell,Beginner,https://www.bodybuilding.com/exercises/exerciseImages/sequences/385/Male/m/385_2.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/385/Male/m/385_1.jpg,https://artifacts.bbcomcdn.com/exercises-app/1.2.1/img/guide-2.gif,"1.)  Start out by placing two dumbbells on the floor in front of a flat bench.

2.)  Sit down on the edge of the flat bench with your legs at about shoulder width apart.  Make sure to keep your feet on the floor.

3.)  Use your arms to grab both of the dumbbells and bring them up so that your forearms are resting against your thighs with the palms of the hands facing down. Your wrists should be hanging over the edge of your thighs.

4.)  Start out by curling your wrist upwards and exhaling.

5.)  Slowly lower your wrists back down to the starting position while inhaling.  Make sure to inhale during this part of the exercise. Tip: Your forearms should be stationary as your wrist is the only movement needed to perform this exercise.

6.)  Repeat for the recommended amount of repetitions.

7.)  When finished, simply lower the dumbbells to the floor.

"
Weighted Pull Ups,9.5,Excellent,Strength,Lats,Other,Intermediate,https://www.bodybuilding.com/exercises/exerciseImages/sequences/928/Male/m/928_1.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/928/Male/m/928_2.jpg,https://artifacts.bbcomcdn.com/exercises-app/1.2.1/img/guide-3.gif,"1.) Attach a weight to a dip belt and secure it around your waist. Grab the pull-up bar with the palms of your hands facing forward.   For a medium grip, your hands should be spaced at shoulder width.    Both arms should be extended in front of you holding the bar at the chosen grip.

2.)  You'll want to bring your torso back about 30 degrees while creating a curvature in your lower back and sticking your chest out.  This will be your starting position.

3.)   Now, exhale and pull your torso up until your head is above your hands.   Concentrate on squeezing your shoulder blades back and down as you reach the top contracted position. 

4.)   After a brief moment at the top contracted position, inhale and slowly lower your torso back to the starting position with your arms extended and your lats fully stretched. 

"
